Date,Event,opponent,Map,Score,Result,Point Difference,Round1 Result,>2.5,<2.5,>-2.5,<-2.5,Total Win/Loss,
10/5/2020,ESL One: Road to Rio - North America,Gen.G,Inferno,'9 - 16,L,-7,FURIA,23,23,35,11,30,W
10/5/2020,ESL One: Road to Rio - North America,Gen.G,Vertigo,'16 - 12,W,4,Gen.G,W,L,W,L,16,L
10/5/2020,ESL One: Road to Rio - North America,Gen.G,Train,'6 - 16,L,-10,Gen.G,,,,,,
9/5/2020,ESL One: Road to Rio - North America,Liquid,Vertigo,'16 - 12,W,4,Liquid,,,,,,
9/5/2020,ESL One: Road to Rio - North America,Liquid,Overpass,'16 - 14,W,2,Liquid,,,,,,
3/5/2020,ESL One: Road to Rio - North America,MIBR,Vertigo,'16 - 10,W,6,MIBR,,,,,,
3/5/2020,ESL One: Road to Rio - North America,MIBR,Inferno,'16 - 14,W,2,MIBR,,,,,,
1/5/2020,ESL One: Road to Rio - North America,Liquid,Inferno,'16 - 13,W,3,Liquid,,,,,,
1/5/2020,ESL One: Road to Rio - North America,Liquid,Vertigo,'16 - 5,W,11,FURIA,,,,,,
29/04/20,ESL One: Road to Rio - North America,Yeah,Nuke,'16 - 9,W,7,FURIA,,,,,,
29/04/20,ESL One: Road to Rio - North America,Yeah,Mirage,'16 - 12,W,4,FURIA,,,,,,
29/04/20,ESL One: Road to Rio - North America,Yeah,Inferno,'14 - 16,L,-2,FURIA,,,,,,
25/04/20,ESL One: Road to Rio - North America,Bad News Bears,Mirage,'16 - 8,W,8,Bad News Bears,,,,,,
25/04/20,ESL One: Road to Rio - North America,Bad News Bears,Inferno,'16 - 12,W,4,FURIA,,,,,,
23/04/20,ESL One: Road to Rio - North America,Envy,Inferno,'16 - 6,W,10,FURIA,,,,,,
23/04/20,ESL One: Road to Rio - North America,Envy,Mirage,'16 - 9,W,7,FURIA,,,,,,
23/04/20,ESL One: Road to Rio - North America,Envy,Nuke,'20 - 22,L,-2,Envy,,,,,,
11/4/2020,ESL Pro League Season 11 North America,Evil Geniuses,Inferno,'14 - 16,L,-2,Evil Geniuses,,,,,,
11/4/2020,ESL Pro League Season 11 North America,Evil Geniuses,Vertigo,'10 - 16,L,-6,Evil Geniuses,,,,,,
9/4/2020,ESL Pro League Season 11 North America,MIBR,Mirage,'16 - 14,W,2,MIBR,,,,,,
9/4/2020,ESL Pro League Season 11 North America,MIBR,Vertigo,'16 - 4,W,12,FURIA,,,,,,
3/4/2020,ESL Pro League Season 11 North America,100 Thieves,Nuke,'16 - 12,W,4,FURIA,,,,,,
3/4/2020,ESL Pro League Season 11 North America,100 Thieves,Vertigo,'5 - 16,L,-11,FURIA,,,,,,
3/4/2020,ESL Pro League Season 11 North America,100 Thieves,Mirage,'16 - 4,W,12,FURIA,,,,,,
2/4/2020,ESL Pro League Season 11 North America,Swole Patrol,Nuke,'7 - 16,L,-9,FURIA,,,,,,
2/4/2020,ESL Pro League Season 11 North America,Swole Patrol,Vertigo,'12 - 16,L,-4,Swole Patrol,,,,,,
1/4/2020,ESL Pro League Season 11 North America,Evil Geniuses,Nuke,'13 - 16,L,-3,FURIA,,,,,,
1/4/2020,ESL Pro League Season 11 North America,Evil Geniuses,Train,'14 - 16,L,-2,Evil Geniuses,,,,,,
1/4/2020,ESL Pro League Season 11 North America,Evil Geniuses,Mirage,'16 - 8,W,8,Evil Geniuses,,,,,,
30/03/20,ESL Pro League Season 11 North America,MIBR,Mirage,'16 - 8,W,8,MIBR,,,,,,
30/03/20,ESL Pro League Season 11 North America,MIBR,Inferno,'6 - 16,L,-10,FURIA,,,,,,
30/03/20,ESL Pro League Season 11 North America,MIBR,Train,'16 - 4,W,12,FURIA,,,,,,
29/03/20,ESL Pro League Season 11 North America,Liquid,Mirage,'16 - 13,W,3,Liquid,,,,,,
29/03/20,ESL Pro League Season 11 North America,Liquid,Inferno,'16 - 11,W,5,Liquid,,,,,,
29/03/20,ESL Pro League Season 11 North America,Liquid,Nuke,'10 - 16,L,-6,Liquid,,,,,,
7/3/2020,Americas Minor North America Closed Qualifier - ESL One Rio 2020,Envy,Nuke,'16 - 7,W,9,FURIA,,,,,,
7/3/2020,Americas Minor North America Closed Qualifier - ESL One Rio 2020,Envy,Mirage,'16 - 11,W,5,Envy,,,,,,
7/3/2020,Americas Minor North America Closed Qualifier - ESL One Rio 2020,Triumph,Inferno,'16 - 11,W,5,FURIA,,,,,,
7/3/2020,Americas Minor North America Closed Qualifier - ESL One Rio 2020,Triumph,Overpass,'16 - 14,W,2,Triumph,,,,,,
24/02/20,DreamHack Open Anaheim 2020,Gen.G,Inferno,'15 - 19,L,-4,FURIA,,,,,,
24/02/20,DreamHack Open Anaheim 2020,Gen.G,Nuke,'7 - 16,L,-9,Gen.G,,,,,,
23/02/20,DreamHack Open Anaheim 2020,Complexity,Nuke,'16 - 14,W,2,FURIA,,,,,,
23/02/20,DreamHack Open Anaheim 2020,Complexity,Overpass,'16 - 11,W,5,FURIA,,,,,,
23/02/20,DreamHack Open Anaheim 2020,Complexity,Mirage,'11 - 16,L,-5,Complexity,,,,,,
22/02/20,DreamHack Open Anaheim 2020,North,Overpass,'16 - 3,W,13,FURIA,,,,,,
21/02/20,DreamHack Open Anaheim 2020,Endpoint,Inferno,'16 - 6,W,10,Endpoint,,,,,,
